Street,Postal Code,City,Latitude,Longitude,URL
Appianistraße 6,92342,Freystadt,49.1929087,11.3375292,https://filialen.aldi-sued.de/bayern/freystadt/appianistrasse-6
Am Bahnhof 22,94078,Freyung,48.8006592,13.5484846,https://filialen.aldi-sued.de/bayern/freyung/am-bahnhof-22
Lechhauser Straße 42,86316,Friedberg,48.3624024004688,10.957066085666156,https://filialen.aldi-sued.de/bayern/friedberg/lechhauser-strasse-42
Marquardtstraße 2,86316,Friedberg,48.347893,10.9985558,https://filialen.aldi-sued.de/bayern/friedberg/marquardtstrasse-2
Winterbruckenweg 62,86316,Friedberg,48.4060443,10.951125,https://filialen.aldi-sued.de/bayern/friedberg/winterbruckenweg-62
Maisacher Straße 123,82256,Fürstenfeldbruck,48.1929239,11.2557103,https://filialen.aldi-sued.de/bayern/fuerstenfeldbruck/maisacher-strasse-123
Otl-Aicher-Straße 2,82256,Fürstenfeldbruck,48.16103462261495,11.223044049208024,https://filialen.aldi-sued.de/bayern/fuerstenfeldbruck/otl-aicher-strasse-2
Schöngeisinger Straße 40-48,82256,Fürstenfeldbruck,48.1766901,11.2510191,https://filialen.aldi-sued.de/bayern/fuerstenfeldbruck/schoengeisinger-strasse-40-48
Erlanger Str. 200,90765,Fürth,49.49409216382647,10.989667723164416,https://filialen.aldi-sued.de/bayern/fuerth/erlanger-str-200
Hans-Vogel-Straße 50,90765,Fürth,49.481183,11.0099516,https://filialen.aldi-sued.de/bayern/fuerth/hans-vogel-strasse-50
Karolinenstraße 90,90763,Fürth,49.467768345330384,10.995633792697276,https://filialen.aldi-sued.de/bayern/fuerth/karolinenstrasse-90
Magazinstraße 61,90763,Fürth,49.4544847846205,11.001643588995876,https://filialen.aldi-sued.de/bayern/fuerth/magazinstrasse-61
Würzburger Straße 171,90766,Fürth,49.4834362,10.9595257,https://filialen.aldi-sued.de/bayern/fuerth/wuerzburger-strasse-171
Abt-Hafner-Straße 15,87629,Füssen,47.58153834568064,10.69981172276016,https://filialen.aldi-sued.de/bayern/fuessen/abt-hafner-strasse-15
Kötztinger Straße 16,93437,Furth im Wald,49.30543749498622,12.824793208583516,https://filialen.aldi-sued.de/bayern/furth-im-wald/koetztinger-strasse-16
Lilienthalstraße 54,85080,Gaimersheim,48.7864549,11.3853964,https://filialen.aldi-sued.de/bayern/gaimersheim/lilienthalstrasse-54
